epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step,val_accuracy_epoch,val_accuracy_step,val_loss_epoch,val_loss_step
0,9,,0.0625,,4.19819974899292,,,,
0,19,,0.0,,3.131425142288208,,,,
0,29,,0.0625,,2.8528661727905273,,,,
0,39,,0.0625,,2.9598865509033203,,,,
0,49,,0.0625,,2.9423162937164307,,,,
0,59,,0.1875,,2.7572402954101562,,,,
0,69,,0.1875,,2.7022461891174316,,,,
,0,,,,,,0.0625,,2.7725887298583984
,1,,,,,,0.25,,2.7725887298583984
,2,,,,,,0.125,,2.7725887298583984
,3,,,,,,0.125,,2.7725887298583984
,4,,,,,,0.0625,,2.7725887298583984
,5,,,,,,0.0625,,2.7725887298583984
,6,,,,,,0.0625,,2.7725887298583984
,7,,,,,,0.0625,,2.7725887298583984
,8,,,,,,0.125,,2.7725887298583984
,9,,,,,,0.07692307978868484,,2.5649495124816895
0,76,,,,,0.10191082954406738,,2.7553956508636475,
0,76,0.06704824417829514,,3.213125467300415,,,,,
1,79,,0.0625,,2.9327051639556885,,,,
1,89,,0.0625,,2.9124510288238525,,,,
1,99,,0.0,,2.688490867614746,,,,
1,109,,0.0,,3.0251612663269043,,,,
1,119,,0.0,,2.8498473167419434,,,,
1,129,,0.0625,,2.969346284866333,,,,
1,139,,0.0,,2.9781317710876465,,,,
1,149,,0.125,,2.8195040225982666,,,,
,10,,,,,,0.0625,,2.7725887298583984
,11,,,,,,0.0625,,2.7725887298583984
,12,,,,,,0.0625,,2.7725884914398193
,13,,,,,,0.0625,,2.7725887298583984
,14,,,,,,0.0625,,2.7725887298583984
,15,,,,,,0.0625,,2.7725884914398193
,16,,,,,,0.0625,,2.7725887298583984
,17,,,,,,0.0625,,2.7725887298583984
,18,,,,,,0.0625,,2.7725887298583984
,19,,,,,,0.07692307978868484,,2.5649490356445312
1,153,,,,,0.06369426846504211,,2.7553956508636475,
1,153,0.07604251801967621,,2.8124160766601562,,,,,
2,159,,0.125,,2.6279289722442627,,,,
2,169,,0.125,,2.6827189922332764,,,,
2,179,,0.125,,2.6818881034851074,,,,
2,189,,0.0,,2.7288994789123535,,,,
2,199,,0.1875,,2.8753886222839355,,,,
2,209,,0.25,,2.6414568424224854,,,,
2,219,,0.0625,,2.8015244007110596,,,,
2,229,,0.0625,,2.777534246444702,,,,
,20,,,,,,0.0625,,2.772526264190674
,21,,,,,,0.0625,,2.772371768951416
,22,,,,,,0.0625,,2.7725062370300293
,23,,,,,,0.0625,,2.7724156379699707
,24,,,,,,0.0625,,2.772611379623413
,25,,,,,,0.0625,,2.772538185119629
,26,,,,,,0.0625,,2.772840976715088
,27,,,,,,0.0625,,2.772664785385132
,28,,,,,,0.0625,,2.772449254989624
,29,,,,,,0.07692307978868484,,2.5650417804718018
2,230,,,,,0.06369426846504211,,2.7553651332855225,
2,230,0.09157808870077133,,2.7583868503570557,,,,,
3,239,,0.0,,2.814544677734375,,,,
3,249,,0.0625,,2.945282459259033,,,,
3,259,,0.125,,2.7544050216674805,,,,
3,269,,0.1875,,2.9266269207000732,,,,
3,279,,0.1875,,2.5204761028289795,,,,
3,289,,0.1875,,2.4331774711608887,,,,
3,299,,0.0625,,2.7794928550720215,,,,
,30,,,,,,0.0625,,2.7596189975738525
,31,,,,,,0.0,,2.775675058364868
,32,,,,,,0.0,,2.766864061355591
,33,,,,,,0.0625,,2.7321934700012207
,34,,,,,,0.125,,2.768381357192993
,35,,,,,,0.0625,,2.7368297576904297
,36,,,,,,0.0625,,2.8088765144348145
,37,,,,,,0.0,,2.781935691833496
,38,,,,,,0.0,,2.7708396911621094
,39,,,,,,0.07692307978868484,,2.501971960067749
3,307,,,,,0.04458598792552948,,2.744873046875,
3,307,0.11692558974027634,,2.6594619750976562,,,,,
4,309,,0.25,,2.4649362564086914,,,,
4,319,,0.0625,,2.7485036849975586,,,,
4,329,,0.1875,,2.5302505493164062,,,,
4,339,,0.0625,,2.400461196899414,,,,
4,349,,0.125,,2.295548439025879,,,,
4,359,,0.0,,2.7587711811065674,,,,
4,369,,0.125,,2.419538974761963,,,,
4,379,,0.1875,,2.627519130706787,,,,
,40,,,,,,0.0625,,2.7107648849487305
,41,,,,,,0.0625,,2.8446874618530273
,42,,,,,,0.0625,,2.7988929748535156
,43,,,,,,0.0625,,2.512566089630127
,44,,,,,,0.125,,2.6323330402374268
,45,,,,,,0.1875,,2.6468918323516846
,46,,,,,,0.0625,,2.828455924987793
,47,,,,,,0.0625,,2.57721209526062
,48,,,,,,0.0,,2.771979808807373
,49,,,,,,0.23076923191547394,,2.1915955543518066
4,384,,,,,0.08917197585105896,,2.6603264808654785,
4,384,0.13327881693840027,,2.567713737487793,,,,,
5,389,,0.3125,,2.1344964504241943,,,,
5,399,,0.125,,2.6455869674682617,,,,
5,409,,0.125,,2.3405869007110596,,,,
5,419,,0.125,,2.5388612747192383,,,,
5,429,,0.1875,,2.4805305004119873,,,,
5,439,,0.125,,2.737105369567871,,,,
5,449,,0.0625,,2.703871488571167,,,,
5,459,,0.25,,2.380495548248291,,,,
,50,,,,,,0.125,,2.661285161972046
,51,,,,,,0.0,,2.8966786861419678
,52,,,,,,0.0,,2.9174752235412598
,53,,,,,,0.125,,2.394010305404663
,54,,,,,,0.1875,,2.7834348678588867
,55,,,,,,0.125,,2.6293816566467285
,56,,,,,,0.0625,,2.789429187774658
,57,,,,,,0.0625,,2.5329012870788574
,58,,,,,,0.0,,2.857208251953125
,59,,,,,,0.23076923191547394,,2.034980297088623
5,461,,,,,0.08917197585105896,,2.661424398422241,
5,461,0.1618969738483429,,2.4694955348968506,,,,,
6,469,,0.1875,,2.331429958343506,,,,
